A1C	L	-	-	M	L	R	K	-	-	R	N	R	I	R	H	R	N	-	-	I	I	-
B1Bo,1	-	-	-	R	M	M	R	-	-	M	R	M	M	M	M	M	R	-	-	M	M	M
B1Bo,2	-	R	R	N	K	K	R	R	M	R	R	-	-	K	K	-	-	-	-	K	K	-
B2Bo	-	M	R	K	N	R	R	-	-	R	D	R	E	R	N	R	N	-	-	N	E	-
B4Bo	-	-	-	L	G	N	R	-	-	R	R	R	Q	R	Q	R	R	-	-	N	Q	-
B4C	-	-	-	R	H	N	R	-	-	R	L	R	G	R	E	-	-	-	-	-	G	-
BH3Ox	-	-	-	N	I	I	R	-	-	R	K	R	H	R	G	R	L	-	-	H	H	-
G1T	K	-	-	D	R	R	R	-	-	R	M	R	L	R	I	R	K	-	-	L	L	-
M22C	-	R	R	D	N	R	R	R	K	R	D	-	-	R	R	R	N	-	-	N	R	-
S1C	M	-	-	D	R	L	M	-	-	R	N	R	K	R	L	R	M	-	-	R	R	-
S2C	-	-	-	D	R	R	R	-	-	R	D	-	-	R	R	R	N	M	M	R	R	-
